id,dimension,measure,indicator,subset_if_diff,figure  ,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,Notes,,
1001,Economic,Children in Poverty,Federal Poverty Level (FPL),,1,Children <6 in Poverty,Children under 6 years of age who live in families with incomes below select federal poverty thresholds.,Number of children under 6 years of age by federal poverty threshold.,ACS,Total number of children under 6 years of age.,ACS,,,,
1002,Economic,Children in Poverty,Federal Poverty Level (FPL),,2,Children <6 in Poverty Over Time,Children under 6 years of age who live in families with incomes below select federal poverty thresholds over time.,Number of children under 6 years of age by federal poverty threshold.,ACS,Total number of children under 6 years of age.,ACS,,,,
1003,Economic,Children in Poverty,Federal Poverty Level (FPL),,3,Children <6 with Families <100% FPL by Race and Ethnicity,Children under 6 years of age who live in families with incomes below the federal poverty level by race and ethnicity.,"Number of children under 6 years of age who live in families with incomes below the federal poverty level, by race.",ACS,"Total number of children under 6 years of age, by race.",ACS,,,,
1004,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),,1,Poverty by Public School Grade Level,Public school students who are eligible for free or reduced-price lunch.,Number of public school students who are eligible for free or reduced-price lunch.,IA DOEd,Total number of public school students.,IA DOEd,,,,
1005,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),,2,Poverty by Public School Grade Level Over Time,Public school students who are eligible for free or reduced-price lunch over time.,Number of public school students who are eligible for free or reduced-price lunch.,IA DOEd,Total number of public school students.,IA DOEd,,,,
1006,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),,3,Students Eligible for FRPL by Public School Grade Level,Public school students who are eligible for free or reduced-price lunch by school grade level.,Number of public school students who are eligible for free or reduced-price lunch by grade level.,IA DOEd,Total number of public school students by grade level.,IA DOEd,,,,
1007,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,,1,Medicaid or WIC Receipt at Birth,Children born to mothers who received Medicaid or WIC at the time of the child's birth.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1008,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,,2,Medicaid or WIC Receipt at Birth Over Time,Children born to mothers who received Medicaid or WIC at the time of the child's birth over time.,Number of children born to mothers who received Medicaid or WIC at time of child's birth.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1009,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,,3,Medicaid or WIC Receipt at Birth by Race and Ethnicity,Children born to mothers who received Medicaid or WIC at the time of the child's birth by the mother's race and ethnicity.,"Number of children born to mothers who received Medicaid or WIC at time of child's birth, by race and ethnicity.",VS Birth Records,"Total number of live births, by race and ethnicity.",VS Birth Records,,,,
1010,Economic,All People in Poverty,Federal Poverty Level (FPL),,1,All People in Poverty,People living below a certain percent of the federal poverty threshold.,Number of people with a family income below a certain percent of the federal poverty threshold.,ACS,Total number of people.,ACS,,,,
1011,Economic,All People in Poverty,Federal Poverty Level (FPL),,2,All People in Poverty Over Time,People living below a certain percent of the federal poverty threshold over time.,Number of people with a family income below a certain percent of the federal poverty threshold.,ACS,Total number of people.,ACS,,,,
1012,Economic,All People in Poverty,Federal Poverty Level (FPL),,3,All People in Families < 100% FPL by Race and Ethnicity,People living below 100 percent of the federal poverty threshold by race and ethnicity.,"Number of people with familiy incomes below 100 percent of the federal poverty threshold, by race.",ACS,"Total number of people, by race.",ACS,,,,
1013,Economic,Unemployment,Unemployment,,1,Unemployment,People ages 16+ in the civilian labor force who are unemployed.,Number of people 16+ in the civilian noninstitutional labor force who are unemployed.,IWD,Total number of people 16+ in the civilian noninstitutional labor force.,IWD,,,,
