ID,dimension,measure,indicator,source,data ,min_year,max_year,date_obtained,Link,notes
5001,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5002,Economic,Children in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5003,Economic,Children in Poverty,Free or Reduced Price Lunch (FRPL),Iowa Department of Education,2018-2024,2018,2024,09/16/25,https://www.iaschoolperformance.gov/ECP/Home/Index,
5004,Economic,Children in Poverty,Medicaid or WIC Receipt at Birth,Iowa's Integrated Data System for Decision-Making (I2D2),2007-2024,2007,2024,09/05/25,https://i2d2.iastate.edu/,
5005,Economic,All People in Poverty,Federal Poverty Level (FPL),United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5006,Economic,Homelessness,Point in Time (PIT),Institute for Community Alliances,2018-2024,2018,2024,09/08/25,https://icalliances.org/pit,
5007,Economic,Homelessness,Point in Time (PIT),U.S. Department of Housing and Urban Development (HUD),2018-2023,2018,2023,09/08/25,https://www.huduser.gov/portal/sites/default/files/xls/2007-2024-PIT-Counts-by-State.xlsb,
5008,Economic,Homelessness,Students Facing Homelessness,Iowa Department of Education,2018-2024,2018,2024,09/11/25,https://www.iaschoolperformance.gov/ECP/Home/Index,
5009,Economic,Unemployment,Unemployment,Iowa Workforce Development,2000-2025,2000,2025,01/09/26,https://workforce.iowa.gov/labor-market-information/indicators/local,
5010,Demographic,Child Demographics,Child Age,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5011,Demographic,Child Demographics,Child Race and Ethnicity,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5012,Demographic,Household Characteristics,Household Type,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5013,Demographic,Household Characteristics,Working Parents,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
5014,Demographic,Household Characteristics,Language Spoken at Home,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,2018-2024,2018,2024,01/29/26,https://data.census.gov/ ,
