id,dimension,measure,indicator,source,data,min_year,max_year,date_obtained,link,notes
HSN.CRM.ADR,Health and Social Needs,Community Crime,Alcohol and Drug-Related Crime,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,2025-11-03,https://icrime.dps.state.ia.us/CrimeInIowa,NA
HSN.CRM.ARR,Health and Social Needs,Community Crime,Arrest,Iowa Department of Public Safety,Iowa Uniform Crime Reporting System,2018,2024,2025-11-05,https://icrime.dps.state.ia.us/CrimeInIowa,NA
HSN.CRM.ARR,Health and Social Needs,Community Crime,Arrest,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table S0101,2018,2024,2026-01-29,https://data.census.gov/,NA
SRV.SER.CCA,Services,Human Services,Availability of Child Care,Iowa Department of Health and Human Services,HHS DCPDMAST Report,2007,2025,2023-12-06,https://hhs.iowa.gov/about/open-records,NA
DEM.HSE.FTM,Demographic,Household Characteristics,First Time Mother,Iowa's Integrated Data System for Decision-Making (I2D2),Iowa Birth Records,2007,2024,2026-01-26,https://i2d2.iastate.edu/,NA
HSN.RSK.BTM,Health and Social Needs,Birth Risks,Birth to Teenage Mother,Iowa's Integrated Data System for Decision-Making (I2D2),Iowa Birth Records,2007,2024,2026-01-26,https://i2d2.iastate.edu/,NA
HSN.RSK.BUM,Health and Social Needs,Birth Risks,Birth to Unmarried Mother,Iowa's Integrated Data System for Decision-Making (I2D2),Iowa Birth Records,2007,2024,2026-01-26,https://i2d2.iastate.edu/,NA
HSN.CHL.CAN,Health and Social Needs,Child Health,Child Abuse or Neglect,Iowa Department of Health and Human Services Child Protective Services,Child Abuse Statistics,2018,2023,2025-09-29,https://hhs.iowa.gov/programs/CPS/child-abuse-statistics,NA
HSN.CHL.CAN,Health and Social Needs,Child Health,Child Abuse or Neglect,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B09001,2018,2023,2026-01-29,https://data.census.gov/,NA
DEM.DEM.AGE,Demographic,Child Demographics,Child Age,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Table B09001,2018,2024,2026-01-29,https://data.census.gov/,NA
DEM.DEM.RAC,Demographic,Child Demographics,Child Race and Ethnicity,United States Census Bureau American Community Survey (ACS) 5-Year Estimates,Tables B01001A-I,2018,2024,2026-01-29,https://data.census.gov/,NA
HSN.RSK.CUM,Health and Social Needs,Birth Risks,Cumulative Birth Risks,Iowa's Integrated Data System for Decision-Making (I2D2),Iowa Birth Records,2007,2024,2026-01-26,https://i2d2.iastate.edu/,NA
